0,0.0300309,6.17456e-06,0.99997,161950,272779892
1,0.0300376,6.21904e-06,0.999984,160794,10311582
2,0.0300628,6.25134e-06,1.00042,160033,10707588
3,0.0300659,6.25881e-06,0.999802,159743,11304410
4,0.030019,6.23815e-06,1.0001,160320,9255745
5,0.0300081,6.23318e-06,0.999589,160366,10001261
6,0.0299926,6.22721e-06,0.999865,160564,12296900
7,0.0299771,6.21731e-06,1.00007,160852,13600005
8,0.029908,6.17757e-06,1.00048,161953,14147130
9,0.0298705,6.15781e-06,1.00011,162413,17592547
10,0.029868,6.15368e-06,0.999906,162489,18065700
11,0.0298118,6.12041e-06,0.999916,163374,18290146
12,0.029753,6.08639e-06,0.999903,164285,34388753
13,0.0297003,6.05216e-06,0.999842,165204,43528585
