0,0.0297534,6.17456e-06,0.99997,161950,8596398
1,0.0294664,6.03867e-06,1.0005,165683,7676250
2,0.0291848,5.88054e-06,0.999691,170000,8233786
3,0.0289272,5.73152e-06,1.00011,174493,9927747
4,0.0286509,5.5736e-06,0.999536,179334,9305010
5,0.0283693,5.41698e-06,1.00033,184666,11690587
6,0.0280545,5.24384e-06,1.00013,190725,18692162
7,0.0277349,5.0697e-06,1.00009,197267,18411791
8,0.0274414,4.9097e-06,0.99994,203666,23257211
9,0.0271525,4.75692e-06,0.999956,210211,18218352
10,0.0268736,4.61361e-06,1.00006,216764,36153437
11,0.0265934,4.47278e-06,0.999706,223509,40055946
12,0.0262904,4.32167e-06,1.00012,231419,40666362
13,0.0260419,4.20069e-06,1.00014,238090,60724311
