0,0.0306001,0.0185049,0.0402836,6.17348e-06,2.74341,444387
1,0.0309443,0.0181267,0.0437127,6.40673e-06,2.74383,428274
2,0.0312528,0.0178149,0.0450736,6.60944e-06,2.74427,415205
3,0.0315492,0.0184789,0.0454307,6.80418e-06,2.74427,403322
4,0.0318769,0.0188023,0.0455076,7.02065e-06,2.74452,390921
5,0.0321773,0.0186998,0.046495,7.22382e-06,2.74354,379791
6,0.0324686,0.0185409,0.048245,7.42252e-06,2.74364,369637
7,0.0327585,0.0159064,0.0497179,7.62407e-06,2.74415,359933
8,0.0330703,0.0190999,0.0482206,7.84472e-06,2.74503,349920
9,0.0333879,0.0187159,0.0487572,8.07486e-06,2.74409,339831
10,0.0336791,0.0187774,0.0487672,8.29116e-06,2.74447,331011
11,0.0339682,0.0193941,0.0504652,8.50833e-06,2.7432,322413
12,0.0342617,0.0195026,0.0509696,8.73057e-06,2.74492,314403
13,0.0345239,0.0202338,0.0513129,8.93759e-06,2.7435,306962
14,0.0347976,0.0197408,0.0529181,9.15171e-06,2.74396,299830
15,0.0350133,0.0193873,0.0512049,9.32698e-06,2.74356,294153
16,0.0352393,0.0198758,0.0523948,9.50976e-06,2.74446,288594
17,0.0354763,0.0187561,0.0525356,9.70328e-06,2.74286,282673
