0,5
1,4
2,4
3,3
4,3
5,2
6,2
7,1
0,5
1,4
2,4
3,3
4,3
5,2
6,2
7,1
0,5
1,4
2,4
3,3
4,3
5,2
6,2
7,1
0,5
1,4
2,4
3,3
4,3
5,2
6,2
7,1
0,5
1,4
2,4
3,3
4,3
5,2
6,2
7,1
0,5
1,4
2,4
3,3
4,3
5,2
6,2
7,1
0,5
1,4
2,4
3,3
4,3
5,2
6,2
7,1
0,5
1,4
2,4
3,3
4,3
5,2
6,2
7,1
0,5
1,4
2,4
3,3
4,3
5,2
6,2
7,1
0,5
1,4
2,5
3,4
4,5
5,4
6,5
7,4
8,2
9,4
10,5
11,4
12,5
13,0
14,3
15,4
16,5
17,4
18,5
19,4
20,2
21,4
22,3
23,2
24,2
25,4
26,2
0,5
1,7
2,6
3,4
4,6
5,6
6,5
7,6
8,6
9,6
10,2
11,7
12,6
13,7
14,8
15,3
16,7
17,4
18,6
19,6
20,6
21,3
22,6
23,6
24,6
25,7
26,6
27,5
28,4
29,4
30,5
31,7
32,1
33,5
34,7
35,7
36,5
37,5
38,6
39,5
40,4
41,6
42,3
43,2
44,5
45,8
46,6
47,5
48,5
49,4
50,6
51,7
52,6
53,5
54,2
55,7
56,8
57,5
58,6
59,6
60,5
61,4
62,5
63,5
64,5
65,2
66,5
67,6
68,7
69,4
70,6
71,3
72,4
73,8
74,4
75,5
76,2
77,5
78,6
79,5
80,6
81,5
82,4
83,6
84,7
85,5
86,5
87,2
88,6
89,6
90,5
91,4
92,5
93,5
94,7
95,7
96,4
97,4
98,2
99,7
100,6
101,7
102,4
103,5
104,7
105,4
106,4
107,5
108,9
109,2
110,2
111,3
112,1
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,1
121,7
122,7
123,6
124,3
125,5
126,6
127,6
128,6
129,8
130,6
131,2
132,6
133,1
134,2
135,2
136,2
137,2
138,4
139,3
140,4
141,3
142,3
143,6
144,4
145,4
146,4
147,3
148,4
149,3
150,4
151,5
152,3
153,4
154,7
155,4
156,4
157,3
158,2
159,4
160,4
161,6
162,1
163,4
164,1
165,7
166,2
167,3
168,3
169,4
170,5
171,5
172,3
173,3
174,6
175,3
176,8
177,1
178,3
179,4
180,4
181,2
182,3
183,3
184,4
185,5
186,2
187,6
188,1
189,3
190,4
191,2
192,3
193,5
194,1
195,4
196,6
197,0
198,7
199,2
200,2
201,5
202,1
203,4
204,5
205,3
206,3
207,6
208,0
209,7
210,2
211,6
212,4
213,2
214,4
215,2
216,4
217,4
218,3
219,3
220,7
221,2
222,3
223,5
224,6
225,6
226,6
227,2
228,5
229,5
230,3
231,2
232,4
233,4
234,2
235,3
236,2
237,3
238,3
239,2
240,1
241,1
242,6
243,4
244,4
245,6
246,7
247,7
248,4
249,6
250,5
251,5
252,3
253,7
254,1
255,5
256,5
257,3
258,5
259,1
260,4
261,4
262,6
263,1
264,8
265,4
266,3
267,3
268,4
269,4
270,3
271,3
272,3
273,2
274,5
275,7
276,4
277,3
278,3
279,6
280,3
281,3
282,3
283,4
284,5
285,0
286,4
287,1
288,6
289,4
290,3
291,6
292,5
293,2
294,5
295,4
296,2
297,5
298,4
299,5
300,6
301,2
302,4
303,3
304,5
305,3
306,4
307,3
308,5
309,3
310,0
311,4
312,3
313,4
314,5
315,5
316,5
317,4
318,0
319,6
320,4
321,4
322,2
323,3
324,5
325,1
326,4
327,4
328,3
329,3
330,5
331,5
332,4
333,4
334,4
335,5
336,4
337,3
338,4
339,2
340,3
341,5
342,3
343,1
344,4
345,1
346,3
347,4
348,1
349,4
350,4
351,3
352,2
353,2
354,5
355,0
356,3
357,3
358,3
359,3
360,2
361,2
362,1
363,5
364,6
365,4
366,6
367,5
368,4
369,5
370,5
371,8
372,5
373,1
374,7
375,2
376,4
377,4
378,2
379,2
380,4
381,3
382,2
383,4
384,1
385,6
386,3
387,5
388,4
389,3
390,3
391,2
392,2
393,4
394,4
395,0
396,5
397,4
398,4
399,3
400,6
401,5
402,3
403,5
404,7
405,4
406,3
407,6
408,4
409,1
410,3
411,4
412,3
413,4
414,3
415,4
416,6
417,1
418,5
419,4
420,3
421,4
422,6
423,3
424,5
425,4
426,6
427,4
428,2
429,6
430,4
431,2
432,5
433,2
434,5
435,4
436,3
437,7
438,5
439,2
440,4
441,4
442,5
443,3
444,3
445,6
446,4
447,6
448,4
449,4
450,2
451,3
452,3
453,6
454,7
455,4
456,4
457,0
458,5
459,6
460,4
461,3
462,5
463,7
464,5
465,2
466,5
467,3
468,4
469,5
470,3
471,5
472,1
473,2
474,3
475,1
476,3
477,2
478,2
479,2
480,1
481,1
482,3
483,1
484,5
485,5
486,4
487,6
488,5
489,5
490,6
491,5
492,6
493,5
494,2
495,5
496,3
497,4
498,4
499,3
500,4
501,3
502,2
503,3
504,6
505,2
506,6
507,3
508,4
509,4
510,6
