0,0.578516,0.578516,0.578516,0.0416667,0.0416667,1,0,0.578516,0.578516,0.578516,0.0416667,0.958333,23
1,0.373892,0.324869,0.428463,0.0115289,0.115289,10,1,0.35522,0.289258,0.454335,0.0100535,0.884711,88
2,0.286561,0.231946,0.357997,0.00542869,0.12486,23,2,0.268766,0.160544,0.391612,0.004655,0.87514,188
3,0.223745,0.162205,0.296942,0.00260018,0.114408,44,3,0.20557,0.116603,0.326965,0.0021759,0.885592,407
4,0.178165,0.118641,0.285223,0.00140864,0.116918,83,4,0.168938,0.0892483,0.29435,0.00124028,0.883082,712
5,0.147799,0.0793328,0.261217,0.00089052,0.131797,148,5,0.141582,0.0695722,0.268761,0.000768321,0.868203,1130
6,0.123412,0.0586328,0.236308,0.000512465,0.118379,231,6,0.123825,0.0537457,0.249389,0.000533992,0.881621,1651
7,0.109623,0.0460547,0.217813,0.000380118,0.12848,338,7,0.108689,0.0428728,0.243116,0.000367575,0.87152,2371
8,0.0965077,0.0379128,0.211167,0.000268394,0.123193,459,8,0.0934947,0.0325229,0.203854,0.000247966,0.876807,3536
9,0.0892421,0.0317517,0.174095,0.000217461,0.124605,573,9,0.0840167,0.0279058,0.190077,0.000186215,0.875395,4701
10,0.0800963,0.0276781,0.182331,0.000165868,0.128216,773,10,0.0770577,0.0242563,0.173102,0.000145249,0.871784,6002
11,0.0731453,0.0247934,0.157957,0.000128822,0.127791,992,11,0.0719579,0.0219822,0.182303,0.000119661,0.872209,7289
12,0.0685893,0.0225639,0.161682,0.00010758,0.125546,1167,12,0.0668243,0.0197904,0.175317,9.75953e-05,0.874454,8960
13,0.0639795,0.0205758,0.159979,8.50006e-05,0.123761,1456,13,0.062374,0.0180953,0.172207,8.07966e-05,0.876239,10845
14,0.0601749,0.0195958,0.135163,7.28783e-05,0.124039,1702,14,0.0585444,0.0172292,0.149564,6.75792e-05,0.875961,12962
15,0.0564558,0.017542,0.138687,6.08664e-05,0.123011,2021,15,0.0549408,0.0164111,0.14435,5.62641e-05,0.876989,15587
16,0.0525923,0.0164672,0.146773,4.98409e-05,0.1252,2512,16,0.0498508,0.0128973,0.145759,4.47171e-05,0.8748,19563
17,0.0489066,0.01492,0.136567,4.1646e-05,0.12348,2965,17,0.0472608,0.0122513,0.138125,3.8459e-05,0.87652,22791
18,0.0470346,0.0131902,0.126416,3.67159e-05,0.125532,3419,18,0.0440487,0.00832031,0.129432,3.21756e-05,0.874468,27178
19,0.0445381,0.0130203,0.122108,3.13397e-05,0.125171,3994,19,0.0417037,0.00808769,0.130335,2.74327e-05,0.874829,31890
20,0.0423002,0.0124224,0.117872,2.698e-05,0.125025,4634,20,0.0397594,0.0076728,0.125485,2.38199e-05,0.874975,36733
