0,0.0953544,0.0664676,0.126596,0.000194437,0.123662,636,0,0.096805,0.0621887,0.132421,0.000202715,0.876338,4323
1,0.0927488,0.053715,0.133561,0.000182766,0.125378,686,1,0.0897231,0.0467353,0.129529,0.000168261,0.874622,5198
2,0.0872181,0.0416879,0.128445,0.000156832,0.124681,795,2,0.0839211,0.0376892,0.134215,0.000141614,0.875319,6181
3,0.0806009,0.0341295,0.127804,0.000130511,0.122159,936,3,0.0786859,0.031315,0.1325,0.000121872,0.877841,7203
4,0.0757153,0.0275547,0.122998,0.000114819,0.126071,1098,4,0.0737422,0.0256619,0.131974,0.000105052,0.873929,8319
5,0.0727243,0.0241287,0.123479,0.00010493,0.124447,1186,5,0.0681768,0.0213156,0.129378,8.6483e-05,0.875553,10124
6,0.0683937,0.021712,0.131517,9.09015e-05,0.12508,1376,6,0.0627788,0.0175331,0.135451,7.05694e-05,0.87492,12398
7,0.0649311,0.0193184,0.123513,7.97998e-05,0.126323,1583,7,0.0588,0.0162767,0.124361,5.971e-05,0.873677,14632
8,0.0605261,0.0185501,0.126127,6.70112e-05,0.125177,1868,8,0.0557888,0.0152301,0.126261,5.24223e-05,0.874823,16688
9,0.0567406,0.0164008,0.114981,5.75344e-05,0.125885,2188,9,0.0527508,0.0139239,0.11505,4.5418e-05,0.874115,19246
10,0.0538126,0.0156459,0.114017,4.95894e-05,0.124519,2511,10,0.0499268,0.0132388,0.118695,3.9461e-05,0.875481,22186
11,0.0507787,0.0147075,0.109266,4.28441e-05,0.125362,2926,11,0.0473541,0.0122951,0.11876,3.45816e-05,0.874638,25292
12,0.0484781,0.0138367,0.103168,3.71605e-05,0.125194,3369,12,0.0450259,0.0119401,0.114984,3.01699e-05,0.874806,28996
13,0.0459484,0.0130509,0.107759,3.22336e-05,0.124615,3866,13,0.0430176,0.0112047,0.115004,2.65687e-05,0.875385,32948
14,0.0438301,0.0122274,0.100991,2.82664e-05,0.125107,4426,14,0.040337,0.00853501,0.118005,2.28039e-05,0.874893,38366
